\lbrack	[	0x5b
\backslash	\	0x5c
\rbrack	]	0x5d
\_	_	0x5f
\{	{	0x7b
\}	}	0x7d
\sptilde	~	0x7e
\cent	¢	0xa2
\pounds	£	0xa3
\yen	¥	0xa5
\spddot	¨	0xa8
\neg	¬	0xac
\lnot	¬	0xac
\circledR	®	0xae
\pm	±	0xb1
\Micro	µ	0xb5
\cdotp	·	0xb7
\times	×	0xd7
\eth	ð	0xf0
\div	÷	0xf7
\imath	𝚤	0x1d6a4
\Zbar	Ƶ	0x1b5
\jmath	𝚥	0x1d6a5
\grave	x̀	0x300
\acute	x́	0x301
\hat	x̂	0x302
\tilde	x̃	0x303
\bar	x̄	0x304
\overline	x̅	0x305
\breve	x̆	0x306
\dot	ẋ	0x307
\ddot	ẍ	0x308
\ovhook	x̉	0x309
\mathring	x̊	0x30a
\check	x̌	0x30c
\candra	x̐	0x310
\oturnedcomma	x̒	0x312
\ocommatopright	x̕	0x315
\droang	x̚	0x31a
\utilde	x̰	0x330
\underbar	x̱	0x331
\underline	x̲	0x332
\not	x̸	0x338
\Alpha	Α	0x391
\Beta	Β	0x392
\Gamma	Γ	0x393
\Delta	Δ	0x394
\Epsilon	Ε	0x395
\Zeta	Ζ	0x396
\Eta	Η	0x397
\Theta	Θ	0x398
\Iota	Ι	0x399
\Kappa	Κ	0x39a
\Lambda	Λ	0x39b
\upMu	Μ	0x39c
\upNu	Ν	0x39d
\Xi	Ξ	0x39e
\upOmicron	Ο	0x39f
\Pi	Π	0x3a0
\Rho	Ρ	0x3a1
\Sigma	Σ	0x3a3
\Tau	Τ	0x3a4
\Upsilon	Υ	0x3a5
\Phi	Φ	0x3a6
\Chi	Χ	0x3a7
\Psi	Ψ	0x3a8
\Omega	Ω	0x3a9
\alpha	α	0x3b1
\beta	β	0x3b2
\gamma	γ	0x3b3
\delta	δ	0x3b4
\upepsilon	ε	0x3b5
\zeta	ζ	0x3b6
\eta	η	0x3b7
\theta	θ	0x3b8
\iota	ι	0x3b9
\kappa	κ	0x3ba
\lambda	λ	0x3bb
\mu	μ	0x3bc
\nu	ν	0x3bd
\xi	ξ	0x3be
\upomicron	ο	0x3bf
\pi	π	0x3c0
\rho	ρ	0x3c1
\varsigma	ς	0x3c2
\sigma	σ	0x3c3
\tau	τ	0x3c4
\upsilon	υ	0x3c5
\varphi	φ	0x3c6
\chi	χ	0x3c7
\psi	ψ	0x3c8
\omega	ω	0x3c9
\upvarbeta	ϐ	0x3d0
\vartheta	ϑ	0x3d1
\phi	ϕ	0x3d5
